"filename", "language", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\auth.css", "PostCSS", 348, 0, 14, 62, 424
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\base.css", "PostCSS", 231, 0, 16, 41, 288
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\header.css", "PostCSS", 126, 0, 7, 23, 156
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\modal.css", "PostCSS", 835, 0, 56, 147, 1038
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\table.css", "PostCSS", 437, 0, 18, 92, 547
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\toast.css", "PostCSS", 103, 0, 7, 20, 130
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\toolbar.css", "PostCSS", 158, 0, 7, 28, 193
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\css\updater.css", "PostCSS", 38, 0, 3, 5, 46
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\auth.js", "JavaScript", 0, -612, -32, -101, -745
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\firebase.js", "JavaScript", 0, -112, -11, -21, -144
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\io.js", "JavaScript", 0, -269, -25, -44, -338
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\modal.js", "JavaScript", 0, -389, -41, -77, -507
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\table.js", "JavaScript", 0, -390, -24, -88, -502
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\updater.js", "JavaScript", 0, -36, -1, -12, -49
"c:\Users\esat0\OneDrive\Masaüstü\MySetup CF\js\utils.js", "JavaScript", 0, -110, -14, -32, -156
"Total", "-", 2276, -1918, -20, 43, 381
